USE_ID,CATCH_TYPE,USE_DESC
2307,PRIMARY,Kingsgrove PS
1215,PRIMARY,Beverly Hls PS
2784,PRIMARY,Nymboida PS
3310,PRIMARY,Undercliffe PS
2985,PRIMARY,Rollands Plains UPS
4149,PRIMARY,Nth Haven PS
3935,PRIMARY,Crown St PS
1255,PRIMARY,Blakehurst PS
4520,PRIMARY,Bateau Bay PS
3318,PRIMARY,Urunga PS
1048,PRIMARY,Arcadia PS
4298,PRIMARY,Yarrawarrah PS
1690,PRIMARY,Crystal Ck  PS
1735,PRIMARY,Darlington PS
3882,PRIMARY,Tamworth SPS
4232,PRIMARY,Morgan St PS
1788,PRIMARY,Dundurrabin PS
2284,PRIMARY,Kenthurst PS
1547,PRIMARY,Chandler PS
4617,PRIMARY,Tacking Pt PS
4524,PRIMARY,Hastings PS
2899,PRIMARY,Port Macquarie PS
5188,INFANTS,Sefton IS
2263,PRIMARY,Karuah PS
7442,PRIMARY,Woollahra PS
2156,PRIMARY,Hernani PS
3089,PRIMARY,Spring Hill PS
3340,CENTRAL_PRIMARY,Walcha CS
3547,PRIMARY,Yarrowitch PS
4503,PRIMARY,Tyalla PS
4441,PRIMARY,Crestwood PS
4604,PRIMARY,Oakhill Drive PS
1070,PRIMARY,Asquith PS
2020,PRIMARY,Glen William PS
3428,PRIMARY,Westdale PS
5114,PRIMARY,Ferncourt PS
4421,PRIMARY,Gillwinga PS
1269,PRIMARY,Bobin PS
2794,PRIMARY,Oakville PS
2748,PRIMARY,Niangala PS
1470,PRIMARY,Byron Bay PS
4258,PRIMARY,Lynwood Park PS
1179,PRIMARY,Bellevue Hill PS
2988,PRIMARY,Rose Bay PS
4577,PRIMARY,Minchinbury PS
1605,PRIMARY,Como PS
3796,PRIMARY,Lugarno PS
1321,PRIMARY,Bossley Park PS
1336,CENTRAL_PRIMARY,Bowraville CS
4518,PRIMARY,The Grange PS
4668,PRIMARY,Smalls Rd PS
4460,PRIMARY,Curran PS
2713,PRIMARY,Narromine PS
1873,PRIMARY,Eumungerie PS
4500,PRIMARY,Nareena Hls PS
2766,PRIMARY,Nth Sydney PS
2543,PRIMARY,Middle Harbour PS
1647,PRIMARY,Coramba PS
3129,PRIMARY,Summer Hill PS
2344,PRIMARY,Kurrajong NPS
3032,PRIMARY,St Peters PS
1515,PRIMARY,Carool PS
5109,PRIMARY,Canterbury SPS
1292,PRIMARY,Bondi Beach PS
7407,PRIMARY,Bondi PS
3953,PRIMARY,Waverley PS
2308,PRIMARY,Bexley NPS
3093,PRIMARY,Spring Terrace PS
3325,PRIMARY,Vaucluse PS
2637,PRIMARY,Mt George PS
5126,PRIMARY,Merrylands EPS
2781,PRIMARY,Nundle PS
7316,PRIMARY,Dorrigo PS
2060,PRIMARY,Grafton PS
3303,PRIMARY,Ulmarra PS
2104,PRIMARY,Gundaroo PS
1625,PRIMARY,Shoalhaven Hds PS
4275,PRIMARY,Normanhurst WPS
7303,PRIMARY,Gloucester PS
4533,PRIMARY,Tuncurry PS
1936,PRIMARY,Forster PS
2999,PRIMARY,Rossmore PS
3112,PRIMARY,Stokers Siding PS
4440,PRIMARY,Cherrybrook PS
3445,PRIMARY,Willawarrin PS
4327,PRIMARY,Marayong SPS
2511,PRIMARY,Medlow PS
1666,PRIMARY,Coutts Crossing PS
2858,PRIMARY,West Pennant Hls PS
5104,INFANTS,Australia St IS
3939,PRIMARY,Mt Hutton PS
2303,PRIMARY,Kinchela PS
1535,PRIMARY,Cattai PS
3829,PRIMARY,Jannali PS
4656,PRIMARY,Anzac Park PS
2698,PRIMARY,Nana Glen PS
1932,PRIMARY,Forest Lodge PS
2926,PRIMARY,Leppington PS
4276,PRIMARY,Thornleigh WPS
4360,PRIMARY,Cartwright PS
1824,PRIMARY,Elands PS
2012,PRIMARY,Glenorie PS
4534,PRIMARY,Orama PS
2444,PRIMARY,Macksville PS
4522,PRIMARY,Wamberal PS
4056,PRIMARY,Rooty Hill PS
1077,PRIMARY,Austral PS
